Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5
ENSG00000270672,MTRNR2L6,53,-2.9521,19,-4.3990,650,1.31459,559,0.97843,412,0.36506
ENSG00000164733,CTSB,52,-2.8315,14,-4.6740,74,-2.2954,1028,3.02588,363,0.31537
ENSG00000078674,PCM1,54,-1.4837,12,-3.6605,126,-0.0877,5,-4.8723,463,3.22000
ENSG00000104722,NEFM,52,-2.2810,22,-3.5880,371,1.06857,221,0.04385,412,1.30492
ENSG00000277586,NEFL,52,-2.1326,12,-4.2222,316,0.94606,53,-2.1102,538,2.30722
ENSG00000092964,DPYSL2,6794,4.12912,97,-4.3955,267,-2.9186,5,-8.5809,1182,-0.5990
ENSG00000120885,CLU,52,-5.7212,1127,-1.1434,1716,-0.4485,1548,-0.6232,6642,2.57988
ENSG00000133872,SARAF,53,-2.7598,139,-1.2896,96,-1.8731,149,-1.1769,1064,3.27904
ENSG00000104695,PPP2CB,53,-1.9616,99,-0.9731,106,-0.8643,54,-1.9137,566,2.85368
ENSG00000147526,TACC1,52,-3.1640,375,-0.0657,158,-1.5018,1082,2.32144,279,-0.5777
ENSG00000008988,RPS20,53,-3.6850,246,-1.3738,241,-1.4012,1303,1.80287,953,1.04689
ENSG00000245910,SNHG6,53,-2.7202,12,-4.8043,314,0.13956,436,0.78018,637,1.64199
ENSG00000147604,RPL7,52,-3.5576,815,0.91323,189,-1.6375,558,0.16754,931,1.20425
ENSG00000147588,PMP2,53,-4.0635,167,-2.3581,1097,0.80274,980,0.57512,1314,1.19320
ENSG00000156467,UQCRB,52,-3.8558,264,-1.4247,381,-0.8339,945,0.80976,1459,1.82745
ENSG00000147649,MTDH,53,-1.6651,12,-3.8013,99,-0.6662,301,1.49039,263,1.17384
ENSG00000156482,RPL30,53,-4.0734,394,-1.0367,479,-0.7161,664,-0.1578,2038,2.35735
ENSG00000164919,COX6C,52,-2.1242,12,-4.2157,83,-1.4179,232,0.32781,592,2.63381
ENSG00000070756,PABPC1,53,-3.0399,253,-0.6141,164,-1.3172,568,0.87328,768,1.56282
ENSG00000164924,YWHAZ,52,-1.7191,12,-3.8442,50,-1.7768,126,-0.2873,502,3.04983
ENSG00000164929,BAALC,52,-2.3309,196,-0.2148,195,-0.2276,68,-1.9344,597,2.22028
ENSG00000164754,RAD21,54,-1.1953,12,-3.3951,115,0.07549,86,-0.4292,284,2.07661
ENSG00000104419,NDRG1,5148,3.41016,389,-2.1050,160,-3.4343,904,-0.7726,483,-1.7717
ENSG00000104529,EEF1D,52,-2.1205,291,0.79291,98,-1.1370,150,-0.4408,372,1.32915
ENSG00000178719,GRINA,52,-1.3433,12,-3.4935,114,-0.0421,140,0.32378,267,1.73902
ENSG00000161016,RPL8,52,-4.2803,693,-0.3211,203,-2.2830,2059,1.97131,1151,0.61352
ENSG00000147862,NFIB,52,-2.3390,105,-1.2759,136,-0.8539,568,2.03458,260,0.27168
ENSG00000164985,PSIP1,53,-1.7493,21,-3.1572,109,-0.6024,10,-4.1972,577,3.57497
ENSG00000137154,RPS6,52,-5.1151,1101,-0.5099,621,-1.4427,4050,2.28530,1548,0.08851
ENSG00000168913,ENHO,52,-2.5674,13,-4.6155,419,0.94198,68,-2.1537,738,2.41714
ENSG00000083067,TRPM3,52,-0.6353,12,-2.8230,178,1.83813,9,-3.3483,125,0.98681
ENSG00000156052,GNAQ,53,-1.6534,135,-0.1338,110,-0.4955,138,-0.0952,293,1.41832
ENSG00000165119,HNRNPK,53,-2.8966,12,-4.9767,116,-1.7166,1008,2.65985,455,0.61275
