Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000116459,ATP5PB,10,-4.4755,366,0.96115,204,-0.0315,151,-0.5038,55,-2.0269,64,-1.7963,335,0.80666,477,1.45549
ENSG00000116473,RAP1A,10,-3.2695,80,-0.1889,57,-0.8065,186,1.24129,45,-1.0756,41,-1.2197,335,2.48147,1,-6.0798
ENSG00000116489,CAPZA1,10,-3.7481,300,1.53096,160,0.46748,98,-0.3954,22,-2.6197,43,-1.6590,335,1.75079,1,-6.5537
ENSG00000155366,RHOC,100,-0.7225,55,-1.6218,8,-4.5008,189,0.28212,68,-1.3078,167,0.08483,335,1.29154,496,2.08616
ENSG00000163349,HIPK1,10,-4.4069,0,-8.2560,60,-1.9666,86,-1.2872,21,-3.3426,34,-2.6633,335,0.88981,1173,3.93969
ENSG00000116752,BCAS2,10,-3.9876,184,0.35479,184,0.41722,44,-1.8561,18,-3.1168,44,-1.8438,335,1.42449,328,1.38204
ENSG00000009307,CSDE1,1565,2.08194,573,0.21655,439,-0.2457,427,-0.2592,167,-1.7038,212,-1.3410,335,-0.6415,362,-0.5194
ENSG00000163399,ATP1A1,351,-0.3937,526,0.26012,1178,2.29215,209,-1.1931,75,-2.7206,107,-2.1963,335,-0.4643,79,-2.6425
ENSG00000198162,MAN1A2,10,-4.0045,8,-4.2244,97,-0.7592,418,1.84041,163,0.13929,218,0.62449,335,1.40169,1,-6.7844
ENSG00000092621,PHGDH,10,-4.3856,0,-8.2341,23,-3.3746,203,0.06369,42,-2.3360,168,-0.2346,335,0.91750,949,3.23182
ENSG00000265241,RBM8A,10,-3.7612,21,-2.7021,125,-0.0177,155,0.32663,23,-2.5920,66,-1.0160,335,1.73214,279,1.37208
ENSG00000265972,TXNIP,118,-1.0139,0,-8.4458,8,-5.1000,278,0.34459,61,-1.9997,48,-2.3543,335,0.65996,1174,3.44796
ENSG00000178104,PDE4DIP,10,-4.7062,247,0.02349,164,-0.6921,163,-0.6329,82,-1.6708,64,-2.0494,335,0.53176,959,2.63743
ENSG00000159164,SV2A,10,-4.9053,942,2.26125,470,1.06313,98,-1.6182,60,-2.3478,126,-1.2428,335,0.30107,1,-7.7045
ENSG00000143401,ANP32E,10,-3.9737,0,-7.8249,124,-0.3085,89,-0.7867,61,-1.3506,129,-0.2097,335,1.44276,448,2.03435
