Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8
ENSG00000115875,SRSF7,123,0.18339,41,-1.5514,58,-1.1485,148,0.47633,171,0.89363
ENSG00000152154,TMEM178A,88,0.32712,68,-0.1525,46,-0.8709,2,-4.8870,129,1.19175
ENSG00000115944,COX7A2L,420,1.39912,132,-0.8381,145,-0.7909,216,-0.0612,158,-0.6402
ENSG00000138095,LRPPRC,334,1.56445,89,-1.0086,130,-0.4758,53,-1.7912,137,-0.3767
ENSG00000138032,PPM1B,110,0.43684,56,-0.7168,60,-0.6889,1,-5.7457,154,1.20841
ENSG00000138078,PREPL,1340,2.18634,268,-1.1542,369,-0.7434,254,-1.2368,253,-1.3766
ENSG00000116016,EPAS1,30,-3.7236,93,-1.8735,178,-0.9946,1761,4.08772,107,-1.8214
ENSG00000119729,RHOQ,277,1.09662,82,-1.1127,105,-0.8184,154,-0.1209,164,-0.0249
ENSG00000119878,CRIPT,79,-0.4953,42,-1.3906,61,-0.9450,110,0.10665,197,1.44746
ENSG00000180398,MCFD2,148,0.69596,53,-1.0887,89,-0.3275,220,1.29814,49,-1.3371
ENSG00000143933,CALM2,3488,1.20819,1629,-0.3365,1208,-0.9097,1166,-0.8645,1923,-0.0792
ENSG00000179915,NRXN1,229,1.31821,109,-0.2358,174,0.67126,1,-6.2203,45,-1.7663
ENSG00000068912,ERLEC1,252,1.31298,52,-1.5374,82,-0.9468,125,-0.1766,134,-0.0744
ENSG00000170634,ACYP2,349,0.86197,188,-0.3337,128,-1.0574,62,-2.0396,323,0.68731
ENSG00000115306,SPTBN1,726,0.22776,484,-0.4668,590,-0.1706,1299,1.23269,376,-0.9662
ENSG00000115310,RTN4,2779,1.26649,876,-0.9204,747,-1.2934,414,-2.0561,2072,0.57535
ENSG00000143947,RPS27A,779,-0.9231,2086,0.80881,855,-0.7628,2800,1.36204,1134,-0.2615
ENSG00000115355,CCDC88A,167,-1.1682,277,-0.2544,233,-0.6034,436,0.49944,539,1.09527
ENSG00000163001,CFAP36,308,1.41261,113,-0.5893,92,-1.0318,352,1.35986,22,-3.2151
ENSG00000115380,EFEMP1,2,-6.2071,42,-1.6663,280,1.99882,100,-0.3278,137,0.21539
ENSG00000115464,USP34,105,-0.0082,78,-0.4866,96,-0.1900,211,1.20877,78,-0.5620
ENSG00000082898,XPO1,105,-0.0552,100,-0.1271,64,-0.9368,169,0.76217,129,0.34944
ENSG00000115484,CCT4,267,1.09419,106,-0.6624,81,-1.1882,58,-1.5835,210,0.55242
ENSG00000014641,MDH1,1972,2.86496,242,-1.6499,250,-1.7562,487,-0.5757,197,-2.1276
ENSG00000169764,UGP2,368,1.73035,163,-0.1126,77,-1.4178,221,0.39029,62,-1.7619
ENSG00000115902,SLC1A4,154,1.12774,14,-2.8571,179,1.52172,37,-1.4034,6,-4.1084
ENSG00000138069,RAB1A,471,1.36450,103,-1.4271,152,-0.9283,245,-0.0671,223,-0.2524
ENSG00000138071,ACTR2,334,0.57571,228,-0.1597,171,-0.6951,241,-0.0690,266,0.10665
ENSG00000221823,PPP3R1,278,1.84651,74,-0.8536,105,-0.3670,91,-0.5321,44,-1.8202
ENSG00000115977,AAK1,282,1.86213,93,-0.5111,91,-0.6192,99,-0.4206,44,-1.8199
ENSG00000124380,SNRNP27,106,0.46034,48,-0.8825,83,-0.0134,83,-0.0254,81,-0.0597
ENSG00000169564,PCBP1,382,0.02092,255,-0.6298,273,-0.5943,425,0.19367,517,0.63743
ENSG00000116005,PCYOX1,267,1.79047,62,-1.0981,84,-0.7083,26,-2.3755,102,-0.3645
ENSG00000143977,SNRPG,149,0.60530,85,-0.4258,70,-0.8241,136,0.34861,113,0.03860
ENSG00000124357,NAGK,83,0.15443,78,0.04203,72,-0.1008,80,0.08584,71,-0.1387
ENSG00000124374,PAIP2B,26,-2.2152,233,1.58376,110,0.24887,2,-5.6642,135,0.67074
ENSG00000075292,ZNF638,40,-1.2254,108,0.47021,75,-0.1447,24,-1.8714,144,1.24165
ENSG00000135624,CCT7,350,1.41450,73,-1.4651,99,-1.1068,264,0.59659,125,-0.7165
ENSG00000204843,DCTN1,295,0.61250,63,-1.9174,158,-0.5884,316,0.63298,229,0.09953
ENSG00000239779,WBP1,66,-0.6151,85,-0.1337,48,-1.1426,69,-0.4780,178,1.48027
ENSG00000115350,POLE4,118,0.52892,127,0.55469,69,-0.5126,112,0.34869,58,-0.8236
ENSG00000163541,SUCLG1,179,0.83735,79,-0.6719,70,-0.9566,163,0.51638,109,-0.1729
ENSG00000034510,TMSB10,2003,0.18165,927,-1.0747,652,-1.7648,7882,3.03711,241,-3.2839
ENSG00000152291,TGOLN2,295,0.52521,246,0.12458,128,-1.0214,125,-0.9483,302,0.57029
ENSG00000168906,MAT2A,185,-0.0012,38,-2.4409,164,-0.2245,203,0.15026,271,0.79055
ENSG00000168894,RNF181,125,0.30503,93,-0.2316,44,-1.5304,165,0.73506,131,0.39186
ENSG00000115525,ST3GAL5,168,0.77916,47,-1.3938,52,-1.3835,158,0.53341,139,0.36210
ENSG00000068615,REEP1,469,3.31519,18,-3.2392,118,-0.4683,2,-5.9676,12,-4.0106
ENSG00000115561,CHMP3,153,0.26654,138,0.05565,82,-0.8713,312,1.52635,74,-1.0478
ENSG00000239305,RNF103,113,0.60180,41,-1.1480,53,-0.8359,1,-5.6591,150,1.25656
ENSG00000172005,MAL,32,-3.3314,184,-0.5250,110,-1.4592,31,-3.1804,772,3.20088
ENSG00000084090,STARD7,243,0.34400,151,-0.4874,159,-0.4642,174,-0.2604,253,0.42438
ENSG00000144021,CIAO1,160,0.38051,58,-1.3013,73,-1.0519,284,1.36225,124,-0.1140
ENSG00000135940,COX5B,1118,0.25896,1536,0.76865,579,-0.9427,1070,0.14452,922,-0.1181
ENSG00000158417,EIF5B,36,-2.3253,80,-0.9638,210,0.73885,274,1.08630,164,0.21680
ENSG00000170500,LONRF2,502,2.98471,26,-2.8825,108,-0.8437,1,-6.7088,67,-1.6200
ENSG00000071082,RPL31,613,-1.0403,1752,0.79917,668,-0.8975,2711,1.63976,887,-0.4004
ENSG00000071054,MAP4K4,113,-1.7085,434,0.59808,256,-0.3310,65,-2.3823,603,1.54748
ENSG00000198914,POU3F3,101,-0.7358,55,-1.5762,110,-0.5816,17,-3.2923,358,2.11582
ENSG00000135968,GCC2,99,0.26875,87,0.01531,63,-0.5734,138,0.79693,71,-0.3663
ENSG00000153201,RANBP2,104,0.22133,77,-0.2985,80,-0.2757,146,0.77917,75,-0.3855
ENSG00000175701,MTLN,155,0.35563,148,0.23027,48,-1.6945,243,1.10320,118,-0.1641
ENSG00000115091,ACTR3,205,0.69437,60,-1.3979,85,-0.9648,169,0.24366,180,0.41473
ENSG00000155368,DBI,146,-1.6001,591,0.81284,403,0.17316,486,0.46639,387,0.09330
ENSG00000211460,TSN,123,0.58733,48,-1.0395,87,-0.1041,94,0.03845,87,-0.1045
ENSG00000136717,BIN1,218,-0.2158,157,-0.7097,98,-1.5660,122,-1.0938,521,1.77419
ENSG00000152082,MZT2B,536,0.57576,541,0.49489,223,-1.0515,735,1.04408,217,-1.1019
ENSG00000136002,ARHGEF4,202,1.59933,52,-1.0216,77,-0.4846,6,-4.1175,93,-0.1483
ENSG00000152102,FAM168B,163,0.42860,87,-0.6628,101,-0.4822,75,-0.8969,181,0.65133
ENSG00000115762,PLEKHB2,707,1.81316,92,-1.9667,205,-0.8385,23,-3.9678,339,0.06932
ENSG00000173272,MZT2A,216,0.86015,159,0.17085,53,-1.6964,311,1.38280,68,-1.2922
ENSG00000152127,MGAT5,101,0.14392,66,-0.5538,30,-1.9381,26,-1.9549,198,1.73855
ENSG00000144224,UBXN4,72,-0.9536,56,-1.2308,123,-0.0119,88,-0.5433,226,1.34238
ENSG00000115866,DARS,114,-0.3476,89,-0.7036,120,-0.2660,141,0.04117,202,0.79600
ENSG00000169554,ZEB2,6,-5.9292,598,1.20587,132,-1.4343,19,-4.1431,759,2.34590
ENSG00000168280,KIF5C,472,0.23352,611,0.63981,256,-0.8894,151,-1.5954,568,0.61990
ENSG00000157827,FMNL2,43,-3.8144,377,-0.3679,187,-1.6041,237,-1.0943,1356,2.91669
ENSG00000136541,ERMN,110,-3.1029,1037,0.57730,211,-2.1091,144,-2.5057,2039,2.74398
ENSG00000144283,PKP4,111,-1.6395,607,1.31553,225,-0.4630,306,0.09185,363,0.45878
ENSG00000123636,BAZ2B,7,-3.8316,56,-0.5717,107,0.61240,68,-0.2480,142,1.26329
ENSG00000115233,PSMD14,122,0.45382,100,0.05689,62,-0.8078,71,-0.4949,118,0.39800
ENSG00000115271,GCA,30,-1.8249,65,-0.5022,64,-0.5818,59,-0.6552,198,1.91585
ENSG00000136531,SCN2A,323,2.87671,1,-6.7883,125,0.18898,1,-6.1039,5,-4.8684
ENSG00000198648,STK39,205,0.42507,149,-0.1689,84,-1.1855,68,-1.3976,264,0.99296
ENSG00000138398,PPIG,115,-0.1716,153,0.31674,131,0.06438,230,1.04066,68,-1.0948
ENSG00000138385,SSB,243,1.08153,120,-0.3197,70,-1.2893,233,0.79139,97,-0.7500
ENSG00000144357,UBR3,227,1.58312,129,0.21492,50,-1.4274,1,-6.1010,111,-0.0328
ENSG00000077380,DYNC1I2,370,-0.2358,341,-0.3351,194,-1.3478,420,0.00152,733,1.21799
ENSG00000138430,OLA1,288,1.82139,62,-1.2032,72,-1.0836,42,-1.7869,119,-0.1988
ENSG00000115935,WIPF1,52,-1.8251,154,0.02514,33,-2.4983,71,-1.1873,408,2.62211
ENSG00000128656,CHN1,378,2.25574,36,-2.2437,178,0.29331,25,-2.7451,28,-2.8007
ENSG00000154518,ATP5MC3,1183,2.12659,178,-1.6099,311,-0.8527,148,-1.8897,338,-0.7068
ENSG00000170144,HNRNPA3,291,0.15652,315,0.26299,193,-0.6091,327,0.32797,270,0.01062
ENSG00000116044,NFE2L2,26,-2.6030,146,0.25804,77,-0.8712,187,0.68729,231,1.35903
ENSG00000187231,SESTD1,33,-1.4007,135,1.05334,46,-0.8458,9,-3.1097,144,1.50707
ENSG00000170035,UBE2E3,200,1.35368,65,-0.8149,59,-1.0677,91,-0.2873,97,-0.2167
ENSG00000138434,ITPRID2,53,-1.5137,198,0.76436,104,-0.3746,252,1.20561,126,-0.0165
ENSG00000061676,NCKAP1,469,1.57999,98,-1.3654,139,-0.9350,326,0.55824,118,-1.2083
